unique_input_record_identifier,input_title,lookup_key,input_writers,input_performers,database_song_code,database_song_title,database_song_writers
0d3ImMdHx7UmvJVBVmW4i3,Jekyll & Hyde,JEKYL&HYDE,"Alexia Coley,Jon Gillies",Alexia Coley,147248465,JEKYLL & HYDE,COLLEN A/GILLIES J
3tsbgQZTLFydy5eS2e4nJL,Tibetan Singing Bowls,TIBETANSINGINBOWL,"Giordano Trivellato,Giuliano Sacchetto",Healing Boy,143671316,TIBETAN SINGING BOWLS,SACCHETTO G/TRIVELLATO G
16LZkrK0TzZF1IVnDpUiDQ,Medizinmann,MEDIZINMAN,Dominik Sțtzler,Monkeybrain,154409033,MEDIZINMANN,DOMINIK STOTZLER/DOMINIK STOTZLER
15vTpRGUFjSVWZQO1MRoHj,"Keyboard Suite No. 8 in F Minor, HWV 433: III. Allemande",KEYBOARDSUITENO8INFMINORH,George Frideric Handel,Philip Edward Fisher,149146545,"KEYBOARD SUITE NO. 8 IN F MINOR, HWV 433: IV. COURANTE",GEORGE FRIDERIC HANDEL
724f2sZLra6E3TEqjxJFlj,Jackie Jackie (Spend This Winter With Me),JACKIEJACKIE,"J. Agebj̦rn,R. Gunnarsson",Sally Shapiro,137120326,JACKIE JACKIE,GUNNARSSON R/AGEBJOERN J
2pg8RhWlcDkcqlarzDx7tR,Short Short Twist,SHORTSHORTTWIST,Jones,The Royal Teens,152474231,SHORT SHORT TWIST,JONES
1Wi3AiNTEtIP1rco1GlTUI,Silhouette,SILHOUETE,No Concept,No Concept,154267777,SILHOUETTE,NO CONCEPT/NO CONCEPT
613IMoqeB0yxuZEcAGssCw,Woman's World,WOMANSWORLD,"Aaron Sledge,Ayaamii Sledge,Brian Sledge,Calvin Frazier,Cornelio Austin,David Haddon,Jarius Mozee,Joe Syring,Rumeal Eggleston",BJ The Chicago Kid,141065728,WOMAN S WORLD,COLLINS J/NICHOLSON G
1yGMy97bxor9IZ9nY5Draq,Apneia,APNEIA,Patricia laus Mattos,Blancah,154075708,APNEIA,LAUS MATTOS PATRICIA
0UnXzesrwrJ1kx3BqVLc0d,Bondi̩,BONDIE,Christine Salem,Christine Salem,150729178,BONDIE (FR),CHRISTINE SALEM
